순번	코드	물질명	물질요약	영문명	상용명	CAS번호	공단코드	주기	노출기준(TWA)	노출기준(STEL)	분석분류	단축코드	회수율	PAS회수율	FACTOR값	측정방법	측정단위	분류	측정	혼합	특검	사용	특별관리	허가대상	허용기준	안전검사	발암성	생식세포	생식독성	LOD	LOQ	단위	분자량	함유량	비중	계산상수	적용값1	적용값3	기울기	Y절편	채취Media	운반방법	시료보관방법	적정유량	적정총유량	유량평균자릿수	분석파일명	분석장비 물질명	분석정열	분석방법	지침번호1	지침번호2	위험문구	유해.위험문구
96	N0073	요오드화메틸		methyl iodide	요오드화 메틸	74-88-4	21151	12	2 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○					2														활성탄		냉장	0.1							A-103-2018		"H351,H331,H301,H312,H335,H315"	"H226,H301,H315,H318,H331,H335,H351,H373,H400,H411"
97	N0074	이소부틸알코올		isobutyl alcohol	이소부틸 알코올	78-83-1	21153	12	50 ppm		GC(유기용제)	16	0.9894	0.846		15	ppm	유기화합물	○	○	○	○								0.0211	0.0696	㎎/Sample	74.12								활성탄		냉장	0.015							A-137-2018		"H226,H335,H336,H315,H318"	"H226,H303,H313,H314,H318,H336"
98	N0075	이소아밀알코올		isoamyl alcohol	이소아밀 알코올(이소펜틸 알코올)	123-51-3	21155	12	100 ppm	125 ppm	GC(유기용제)		1.0078			15	ppm	유기화합물	○	○	○	○								0.0225	0.0743	㎎/Sample	88.15								활성탄		냉장	0.025							A-140-2018			"H226,H313,H315,H319,H332,H335"
99	N0076	이소프로필알코올		isopropyl alcohol	이소프로필 알코올	67-63-0	21157	12	200 ppm	400 ppm	GC(유기용제)	05	1.0254	0.82		15	ppm	유기화합물	○	 	○	○								0.0224	0.0739	㎎/Sample	60.09								활성탄		냉장	0.015							A-133-2018		"H225,H336,H319"	"H225,H305,H319,H336"
100	N0077	"1,2-디클로로에탄"		"1,2-디클로로에탄"	"이염화 에틸렌(1,2-디클로로에탄)"	107-06-2	21159	12	10 ppm		GC(유기용제)		1.0794			15	ppm	유기화합물	○	 	○	○	○				1B			0.0075	0.0248	㎎/Sample	98.96								활성탄		냉장	0.02							A-25-2018		"H225,H350,H302,H335,H315,H319"	"H225,H302,H313,H315,H319,H331,H336,H341,H350"
101	N0078	이황화탄소		carbon disulfide	이황화탄소	75-15-0	21161	12	1 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○			○	○			2												"Sodium sulfate, 활성탄"		냉장	0.05							A-99-2019		"H225,H361fd,H372**,H315,H319"	"H225,H319,H330,H361,H372,H401"
102	N0079	2-메톡시에틸아세테이트		2-methoxyethyl acetate	"초산 2-메톡시에틸(에틸렌 글리콜 모노메틸 에테르 아세테이트, 셀로솔브아세테트)"	110-49-6	21129	12	5 ppm		GC(유기용제)					15	ppm	유기화합물	○	○	○	○	○						1B												활성탄		냉장	0.02							A-150-2018		"H360FD,H332,H312,H302"	"H226,H302,H319,H331,H360,H402"
103	N0080	이소아밀아세테이트		isoamyl acetate	초산 이소아밀(초산 펜틸)	123-92-2	21175	12	50 ppm	100 ppm	GC(유기용제)		0.9917			15	ppm	유기화합물	○	○	○	○								0.0244	0.0805	㎎/Sample	130.18		0.876						활성탄		냉장	0.02							A-125-2018		"R10,R66"	"H226,H336,H402"
104	N0082	크레졸		cresol	크레졸	1319-77-3	21177	12	22 ㎎/㎥		GC(유기용제)					15	㎎/㎥	유기화합물	○	○	○	○								0.00022	0.00073										XAD-7		냉장	0.02							A-74-2018		"H311,H301,H314"	"H301,H312,H314,H318,H335"
105	N0083	크실렌		xylene	크실렌	1330-20-7	21179	12	100 ppm	150 ppm	GC(유기용제)	34	1	0.97		15	ppm	유기화합물	○	○	○	○								0.0335	0.1106	㎎/Sample	106.17								활성탄		냉장	0.02							A-73-2018		"H226,H332,H312,H315"	"H225,H303,H304,H315,H319,H335,H336,H401"
106	N0084	클로로메틸메틸에테르		chloromethylmethylether	클로로메틸메틸에테르	107-30-2	21249	12										유기화합물	 	 	○	○					1A																											
107	N0085	bis-클로로메틸에테르		bis-chloromethylether	bis-클로로메틸에테르(클로로에테르)	542-88-1	21251	12	0.001 ppm									유기화합물	 	 	○	○					1A																											
108	N0086	클로로벤젠		chlorobenzene	클로로벤젠	108-90-7	21181	12	10 ppm	20 ppm	GC(유기용제)	33	0.9809	0.96		15	ppm	유기화합물	○	○	○	○					2			0.0153	0.0505	㎎/Sample	112.56								활성탄		냉장	0.02							A-30-2018		"H226,H332,H411"	"H226,H315,H335,H351,H373,H401,H411"
109	N0087	테레핀유		oil of turpentile	테레핀유	8006-64-2	21253	12	20 ppm									유기화합물	 	 	○	○																																
110	N0088	"1,1,2,2-테트라클로로에탄"		"1,1,2,2-tetrachloroethane"	"1,1,2,2-테트라클로로에탄(사염화아세틸렌)"	79-34-5	21183	6	1 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○					2														Petroleum charcoal		냉장	0.05							A-23-2018		"H310,H330,H411"	"H301,H313,H315,H319,H336,H351,H373,H402"
111	N0089	테트라히드로푸란		tetrahydrofuran	테트라하이드로퓨란	109-99-9	21189	12	50 ppm	100 ppm	GC(유기용제)	18	0.9886			15	ppm	유기화합물	○	○	○	○					2			0.0299	0.0987	㎎/Sample	72.11								활성탄		냉장	0.02							A-101-2018		"H225,H351,H335,H319"	"H225,H303,H318,H335,H351"
112	N0090	"톨루엔-2,4-디이소시아네이트"		"toluene-2,4-diisocyanate"	"톨루엔-2,4-디이소시아네이트"	584-84-9	21193	12	0.005 ppm	0.02 ppm	의뢰물질	201				110	ppm	유기화합물	○	○	○	○			○	○	2														1-(2-pyridyl)piperazine coated 유리섬유 여과지		냉장	1							A-76-2019		"H351,H330,H335,H315,H319,H334,H317,H412"	"H303,H315,H317,H319,H330,H334,H335,H351,H402"
113	N0091	"톨루엔-2,6-디이소시아네이트"		"toluene-2,6-diisocyanate"	"톨루엔-2,6-디이소시아네이트"	91-08-7	21195	12	0.005 ppm	0.02 ppm	의뢰물질	202				110	ppm	유기화합물	○	○	○	○			○		2														1-(2-pyridyl)piperazine coated 유리섬유 여과지		냉장	1							A-77-2019		"H351,H330,H335,H315,H319,H334,H317,H412"	"H303,H315,H317,H319,H330,H334,H335,H351,H402"
114	N0092	트리클로로메탄		trichloromethane	트리클로로메탄(클로로포름)	67-66-3	21199	12	10 ppm		GC(유기용제)	14	0.9926	0.91		15	ppm	유기화합물	○	○	○	○			○		2		2	0.0073	0.0241	㎎/Sample	119.39								활성탄		냉장	0.02							A-28-2019		"H351,H361d,H331,H302,H372,H315,H319"	"H302,H315,H319,H336,H351,H361,H373"
115	N0093	"1,1,2-트리클로로에탄"		"1,1,2-trichloroethane"	"1,1,2-트리클로로에탄"	79-00-5	21185	12	10 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○					2														활성탄		냉장	0.02							A-167-2018		"H351,H332,H312,H302"	"H302,H319,H331,H335,H351,H402"
116	N0094	트리클로로에틸렌		trichloroethylene	트리클로로에틸렌	79-01-6	21201	12	10 ppm	25 ppm	GC(유기용제)	26	1.0051	1.01		15	ppm	유기화합물	○	○	○	○	○		○	○	1A	2		0.0074	0.0243	㎎/Sample	131.39								활성탄		냉장	0.02							A-24-2019		"H350,H341,H336,H315,H319,H412"	"H315,H317,H319,H335,H350,H402,H412"
117	N0095	"1,2,3-트리클로로프로판"		"1,2,3-trichloropropane"	"1,2,3-트리클로로프로판"	96-18-4	21187	12	10 ppm		GC(유기용제)					15	ppm	유기화합물	○	○	○	○	○				1B		1B												활성탄		냉장	0.02							A-33-2018		"H350,H360F***,H332,H312,H302"	"H227,H301,H311,H319,H335,H341,H350,H373,H402"
118	N0096	퍼클로로에틸렌		perchloroethylene	퍼클로로에틸렌(테트라클로로에틸렌)	127-18-4	21203	12	25 ppm	100 ppm	GC(유기용제)	31	0.9822	0.923		15	ppm	유기화합물	○	○	○	○	○				1B			0.0233	0.0769		165.84								활성탄		냉장	0.02							A-31-2018		"H351,H411"	"H303,H315,H317,H319,H336,H350,H401"
119	N0097	페놀		phenol	페놀	108-95-2	21205	12	5 ppm		GC(유기용제)	205	1.0025			15	ppm	유기화합물	○	○	○	○	○					2		0.0265	0.0875	㎎/Sample	94.11								XAD-7		냉장	0.02							A-75-2018		"H341,H331,H311,H301,H373**,H314"	"H301,H311,H314,H318,H332,H341,H373,H401,H411"
120	N0098	펜타클로로페놀		pentachlorophenol	펜타클로로페놀	87-86-5	21207	12	0.5 ㎎/㎥		의뢰물질					13	㎎/㎥	유기화합물	○	 	○	○					1B														XAD-7		냉장	0.2							A-82-2018		"H351,H330,H311,H301,H335,H315,H319,H400,H410"	"H300,H310,H315,H319,H335,H351,H400,H410"
121	N0099	포름알데히드		formaldehyde	포름알데히드	50-00-0	21209	12	0.3 ppm		의뢰물질	207				13	ppm	유기화합물	○	 	○	○	○		○	○	1A	2		0.0194	0.0642	㎍/Sample									"2,4-DNPH coated 실리카겔"		냉장	0.03							A-56-2019	A-57-2018	"H350,H341,H331,H311,H301,H314,H317"	"H220,H301,H311,H314,H317,H318,H330,H350,H401"
122	N0100	β-프로피오락톤		β-propiolactone	β-프로피오락톤	57-57-8	21255	12	0.5 ppm									유기화합물	 	 	○	○					1B																											
123	N0101	ο-프탈로디니트릴		ο-phthalodinitrile	ο-프탈로디니트릴	91-15-6	21257	12										유기화합물	 	 	○	○																																
124	N0102	무수프탈산		phthalic anhydride	프탈릭언하이드라이드(무수 프탈산)	85-44-9	21075	12	1 ppm		의뢰물질					110	ppm	유기화합물	○	 	○	○				○				0.06122	0.20203										"3,4-디메톡시벤질아민 coated 유리섬유"		냉동	0.2							A-89-2018		"H302,H335,H315,H318,H334,H317"	"H302,H313,H317,H319,H334,H335"
125	N0103	피리딘		pyridine	피리딘	110-86-1	21215	12	2 ppm		GC(유기용제)		0.9874			15	ppm	유기화합물	○	 	○	○					2			0.0263	0.0868	㎎/Sample	79.10		0.98						활성탄		냉장	0.1							A-84-2018		"H225,H332,H312,H302"	"H225,H302,H312,H315,H318,H332,H336,H351"
126	N0104	히드라진		hydrazine	하이드라진	302-01-2	21217	12	0.05 ppm		의뢰물질					110	ppm	유기화합물	○	 	○	○	○				1B														황산처리된 유리섬유 여과지		냉장	1							A-62-2018		"H226,H350,H331,H311,H301,H314,H317,H400,H410"	"H226,H290,H301,H314,H317,H330,H336,H350,H400,H411"
127	N0105	헥사메틸렌디이소시아네이트		hexamethylene diisocyanate	헥사메틸렌 디이소시아네이트	822-06-0	21219	12	0.005 ppm		의뢰물질	204				110	ppm	유기화합물	○	○	○	○								0.0966	0.3187	㎍/Sample									1-(2-pyridyl)piperazine coated 유리섬유 여과지		냉장	1							A-78-2018		"H331,H335,H315,H319,H334,H317"	"H302,H314,H317,H318,H330,H334,H402,H412"
128	N0106	n-헥산		n-hexane	n-헥산	110-54-3	21221	12	50 ppm		GC(유기용제)	15	1.0004	1.07		15	ppm	유기화합물	○	○	○	○			○	○			2	0.0238	0.0785	㎎/Sample	86.18								활성탄		냉장	0.02							A-64-2019		"H225,H361f***,H304,H336,H373**,H315,H411"	"H225,H304,H316,H336,H361,H373,H401,H411"
129	N0107	n-헵탄		heptane	헵탄(n-헵탄)	142-82-5	21223	12	400 ppm	500 ppm	GC(유기용제)	27	1.0131	1.04		15	ppm	유기화합물	○	○	○	○								0.0314	0.1036	㎎/Sample	100.2			8.44					활성탄		냉장	0.02							A-63-2018		"R11,R38,R50/53,R65,R67"	"H225,H304,H315,H335,H336,H401,H412"
130	N0108	황산디메틸		dimethyl sulfate	황산디메틸	77-78-1	21225	12	0.1 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○	○				1B	2													Poropak		냉장	0.02							A-102-2018		"H350,H341,H330,H301,H314,H317"	"H314,H317,H318,H336,H350,H402"
131	N0110	구리(흄)		copper(fume)	구리	7440-50-8	22001	12	0.1 ㎎/㎥		"ICP(금속,알칼리)"	106	101.80		1	128	㎎/㎥	금속류	○	○	○	○								0.00089	0.00294	㎍/㎖	63.54		8.9						MCE 여과지		DC	2							A-1-2018			"H302,H335,H400,H410"
132	N0111	납 및 그 무기화합물		lead(inorganic dust&fumes)	납 및 그 무기화합물	7439-92-1	22005	12	0.05 ㎎/㎥		"ICP(금속,알칼리)"	105	103.92		1	128	㎎/㎥	금속류	○	○	○	○	○		○	○	1B		1A	0.00054	0.00178	㎍/㎖	207.2		11.34						MCE 여과지		DC	2							A-2-2019			"H341,H351,H360,H372,H400,H410"
133	N0112	니켈(금속)		nickel(Metal)	니켈(원소)	7440-02-0	22007	12	1 ㎎/㎥		"ICP(금속,알칼리)"	127	105.69		1	128	㎎/㎥	금속류	○	○	○	○			 		2			0.00133	0.00439	㎍/㎖	58.71		8.9						MCE 여과지		DC	2							A-3-2019		"H351,H372**,H317"	"H317,H334,H335,H351,H372,H401,H410"
134	N0113	망간 및 그 무기화합물		"manganese and inorganic compounds, as Mn"	망간	7439-96-5	22015	12	1 ㎎/㎥		"ICP(금속,알칼리)"	101	102.92		1	128	㎎/㎥	금속류	○	○	○	○			○	○				0.00168	0.00554	㎍/㎖	54.9		7.47						MCE 여과지		DC	2							A-5-2019			"H360,H373,H401"
135	N0114	산화아연(흄)		zinc oxide (fume)	산화아연(흄)	1314-13-2	22033	12	5 ㎎/㎥	10 ㎎/㎥	"ICP(금속,알칼리)"	113	104.46		1.245	128	㎎/㎥	금속류	○	○	○	○				○				0.00044	0.00145	㎍/㎖	81.37		5.6						MCE 여과지		DC	2							A-9-2018		"H400,H410"	"H400,H410"
136	N0115	"산화철(분진, 흄)"		"iron oxide and fume, as Fe"	산화철분진과흄	1309-37-1	22065	12	5 ㎎/㎥		"ICP(금속,알칼리)"	126	104.35		1.43	128	㎎/㎥	금속류	○	○	○	○								0.00156	0.00515	㎍/㎖	159.7		5.24						MCE 여과지		DC	2							A-18-2018			"H333,H335"
137	N0116	비소 및 그 무기화합물		arsenic trioxide(Production)	비소및그무기화합물	7440-38-2	12013	12	0.01 ㎎/㎥		"ICP(금속,알칼리)"		91.47			128	㎎/㎥	허가대상유해물질	○	○	○	○		○		○	1A			0.00072	0.00238	㎍/㎖									MCE 여과지		DC	2							A-51-2018		"H331,H301,H400,H410"	"H302,H315,H341,H350,H401,H412"
138	N0117	수은 및 무기형태		mercury(All forms except aryl & alkyl compounds)	수은(원소및무기형태)	7439-97-6	22031	12	0.025 ㎎/㎥		의뢰물질		1		1	10	㎎/㎥	금속류	○	 	○	○	○		○	○			1B	0.06747	0.22265	ng/sample									hopcalite in single section		DC	0.2							A-44-2019		"H360D***,H330,H372**,H400,H410"	"H319,H330,H341,H360,H372,H400,H410"
139	N0118	안티몬 및 그 화합물		"antimony and compounds, as Sb"	안티몬과 그 화합물	7440-36-0	22037	12	0.5 ㎎/㎥		"ICP(금속,알칼리)"	130	102.58		1	128	㎎/㎥	금속류	○	○	○	○	 							0.00189	0.00624	㎍/㎖	121.75		6.69						MCE 여과지		DC	2							A-45-2018			H401
140	N0119	알루미늄(금속분진)		Aluminum(Metal dust)	알루미늄및그화합물(금속분진)	7429-90-5	22039	12	10 ㎎/㎥		"ICP(금속,알칼리)"	120	103.79		1	128	㎎/㎥	금속류	○	○	○	○				○				0.00307	0.01013	㎍/㎖	26.98		2.7						MCE 여과지		DC	2							A-10-2018		"H250,H261"	"H373,H402,H410"
141	N0120	4알킬연		tetraalkyl lead	4알킬연	78-00-2	22085	12			"ICP(금속,알칼리)"					09	㎎/㎥	금속류	 	 	○	○					2																											
142	N0121	오산화바나듐		vanadium pentoxide (Respirable fraction or fume)	오산화바나듐(분진과흄)	1314-62-1	22081	12	0.05 ㎎/㎥		"ICP(금속,알칼리)"		101.84		1.785	128	㎎/㎥	금속류	○	○	○	○					2	2	2	0.00071	0.00234	㎍/㎖									MCE 여과지		DC	2							A-48-2021		"H341,H361d***,H332,H302,H335,H372**,H411"	"H301,H313,H318,H332,H335,H351,H361,H372,H400,H411"
143	N0122	요오드 및 요오드화물		iodine	요오드	7553-56-2	22049	12	0.01 ppm	0.1 ppm	의뢰물질		1		1	19	ppm	금속류	○	○	○	○								0.00602	0.01987	㎍/㎖									Alkali treated 활성탄		냉장	0.5							A-46-2021		"H332,H312,H400"	"H315,H319,H335,H372,H400"
144	N0123	주석(금속)		Tin(Metal)	주석(금속)	7440-31-5	22057	12	2 ㎎/㎥		"ICP(금속,알칼리)"	123	103.18		1	128	㎎/㎥	금속류	○	○	○	○								0.00249	0.00822	㎍/㎖	118.69		7.2						MCE 여과지		DC	2							A-12-2018			H335
145	N0124	지르코늄 및 그 화합물		"zirconium and compounds, as Zr"	지르코니움과 그 화합물	7440-67-7	22063	12	5 ㎎/㎥	10 ㎎/㎥	"ICP(금속,알칼리)"	128	100.95		1	128	㎎/㎥	금속류	○	○	○	○								0.00689	0.02274	㎍/㎖	91.2								MCE 여과지		DC	2							A-13-2018		"H250,H260"	"H251,H319,H333"
146	N0125	카드뮴 및 그 화합물		"cadmium and compounds, as Cd"	카드뮴 및 그 화합물	7440-43-9	22067	12	0.01 ㎎/㎥		"ICP(금속,알칼리)"	108	1.00		1	128	㎎/㎥	금속류	○	○	○	○	○		○	○	1A	2	2	0.00090	0.00297	㎍/㎖	112.40		8.65						MCE 여과지		DC	2							A-14-2019		"H250,H350,H341,H361fd,H330,H372**,H400,H410"	"H302,H330,H341,H350,H361,H372,H400,H410"
147	N0126	코발트 및 그 무기화합물		cobalt(Metal dust & fume)	코발트 및 그 무기화합물	7440-48-4	22069	12	0.02 ㎎/㎥		"ICP(금속,알칼리)"	110	91.26			128	㎎/㎥	금속류	○	○	○	○			○	○	2			0.00065	0.00215	㎍/㎖	58.9		8.92						MCE 여과지		DC	2							A-15-2019		"H334,H317,H413"	"H302,H317,H319,H330,H334,H335,H351,H400"
148	N0127	3가크롬		Chromium(Metal)	크롬(금속과 크롬 3가화합물)	7440-47-3	22071	12	0.5 ㎎/㎥		"ICP(금속,알칼리)"	103	105.26		1	128	㎎/㎥	금속류	○	○	○	○				○				0.00232	0.00766	㎍/㎖	52		7.14						MCE 여과지		DC	2										"H317,H334,H335,H350"
149	N0128	텅스텐(불용성)		Tungsten(Insoluble compounds)	텅스텐과 그 화합물	7440-33-7	22077	12	5 ㎎/㎥	10 ㎎/㎥	"ICP(금속,알칼리)"		99.24		1	128	㎎/㎥	금속류	○	○	○	○								0.00247	0.00815	㎍/㎖	183.85		19.3						MCE 여과지		DC	2.5							A-47-2018			"H303,H313,H319,H401"
150	N0129	초산		Acetic acid	초산	64-19-7	23029	12	10 ppm	15 ppm	GC(유기용제)	206	0.9155		1.02	15	ppm	산 및 알카리류	○	 	 	○								0.0164	0.0541	㎎/Sample	60.05								활성탄		냉장	0.1							A-186-2020		"H226,H314"	"H226,H290,H303,H312,H314,H318,H335"
151	N0130	불화수소		hydrogen fluoride	불화수소	7664-39-3	23007	12	0.5 ppm	C3 ppm	의뢰물질	301			1	19	ppm	산 및 알카리류	○	○	○	○								0.0899	0.2967	㎍/Sample									실리카겔		냉장	0.2							A-154-2018		"H310,H330,H300,H314"	"H280,H290,H310,H314,H318,H330,H402"
152	N0131	시안화나트륨		sodium cyanide	시안화나트륨	143-33-9	23015	12	3 ㎎/㎥	5 ㎎/㎥	의뢰물질	213			1.039	116	㎎/㎥	산 및 알카리류	○	○	○	○								0.00037	0.00122	㎍/Sample									Soda Lime		냉장	0.2							A-158-2018			"H300,H310,H330,H400"
153	N0132	시안화칼륨		potassium cyanide	시안화칼륨	151-50-8	23017	12	5 ㎎/㎥		의뢰물질	214			2.5	116	㎎/㎥	산 및 알카리류	○	○	○	○								0.00059	0.001947	㎍/Sample									Soda Lime		냉장	0.2							A-159-2018			"H300,H310,H330,H370,H372,H400,H411"
154	N0133	염화수소		hydrogen chloride	염화수소	7647-01-0	23023	12	1 ppm	2 ppm	의뢰물질	302			1.028	19	ppm	산 및 알카리류	○	○	○	○								0.0321	0.1058	㎍/Sample									실리카겔		냉장	0.2							A-183-2020		"H331,H314"	"H280,H301,H314,H318,H331,H400"
155	N0134	질산		nitric acid	질산	7697-37-2	23027	12	2 ppm	4 ppm	의뢰물질	303			1.016	19	ppm	산 및 알카리류	○	○	○	○								0.0580	0.1913	㎍/Sample									실리카겔		냉장	0.2							A-185-2020		"H272,H314"	"H271,H314,H318,H331,H402"
156	N0135	트리클로로아세트산		trichloro acetic acid	삼염화초산(트리클로로아세트산)	76-03-9	23031	12	1 ppm		의뢰물질					13	ppm	산 및 알카리류	○	 	○	○					2			1.15090	3.79797	㎍/㎖									실리카겔		냉장	0.02							A-187-2020		"H314,H400,H410"	"H290,H303,H314,H318,H351"
157	N0136	황산(pH2.0이하)		sulfuric acid	황산(pH2.0미만)	7664-93-9	23033	12	0.2 ㎎/㎥	0.6 ㎎/㎥	의뢰물질	306			1.021	112	㎎/㎥	산 및 알카리류	○	○	○	○	○		○		1A			0.0037	0.0122	㎍/㎖									Quartz 여과지		냉장	1							A-179-2019		H314	"H290,H303,H314,H318,H330,H350,H402,H412"
158	N0138	불소		fluorine	불소	7782-41-4	24001	12	0.1 ppm		의뢰물질					112	ppm	가스상물질류	○	 	○	○																			MCE 여과지+Na2CO3- treated cellulose pad		냉장	1									"H270,,H330,H314"	"H270,H280,H314,H318,H330,H402"
159	N0139	브롬		bromine	브롬	7726-95-6	24003	12	0.1 ppm	0.3 ppm	의뢰물질					112	ppm	가스상물질류	○	 	○	○																			은 여과지		DC	0.3									"H330,H314,H400"	"H290,H314,H318,H330,H335,H400"
160	N0140	산화에틸렌		ethylene oxide	산화에틸렌	75-21-8	24005	12	1 ppm		의뢰물질	210	1	1		15	ppm	가스상물질류	○	 	○	○	○		○		1A	1B		2.2429	7.4016	㎍/Sample	44.05								HBr coated Anasorb 747		냉장	0.05							A-174-2019		"H220,H350,H340,H331,H335,H315,H319"	"H220,H280,H301,H315,H319,H331,H335,H340,H350,H402"
161	N0141	삼수소화비소		arsine	삼수소화비소	7784-42-1	24007	12	0.005 ppm		의뢰물질					115	ppm	가스상물질류	○	 	○	○																			활성탄		냉장	0.02						N	A-52-2018		"H220,H330,H373**,H400,H410"	"H220,H280,H330,H350,H400,H410"
162	N0142	시안화수소		hydrogen cyanide	시안화수소	74-90-8	24009	12		C4.7 ppm	의뢰물질				1	116	ppm	가스상물질류	○	 	○	○								0.00059	0.00195	㎍/Sample									Soda Lime		냉장	0.2									"H224,H330,H400,H410"	"H224,H300,H310,H330,H335,H400,H410"
163	N0143	이산화황		sulfur dioxide	아황산가스	7446-09-5	24017	12	2 ppm	5 ppm	의뢰물질	311	1	1	2.549	112	ppm	가스상물질류	○	 	○	○								0.00272	0.00898	㎍/㎖	64.07								MCE 여과지+Coated MCE 여과지		냉장	0.5									"H331,H314"	"H280,H314,H318,H331,H334,H335"
164	N0144	염소		chloride	염소	7782-50-5	24013	12	0.5 ppm	1 ppm	의뢰물질	308			2	112	ppm	가스상물질류	○	 	○	○			○					0.00291	0.00960										은 여과지		DC	0.3							A-177-2019		"H270,H331,H335,H315,H319,H400"	"H270,H280,H302,H314,H318,H330,H335,H373,H400,H411"
165	N0145	오존		ozone	오존	10028-15-6	24015	12	0.08 ppm	0.2 ppm	의뢰물질					112	ppm	가스상물질류	○	 	○	○								0.00643	0.02122	㎍/㎖									"NaNO2, K2CO3 처리된 유리섬유 여과지"		DC	0.25										"H280,H315,H319,H330,H335,H341,H400"
166	N0146	이산화질소		nitrogen dioxide	이산화질소	10102-44-0	24019	12	3 ppm	5 ppm	의뢰물질	312			4.479	116	ppm	가스상물질류	○	 	○	○								0.00759	0.02505	㎍/㎖	46.01								oxidizer+triethanolamine-treated molecular sieve		실온	0.025									"H270,H330,H314"	"H280,H315,H319,H330,H335,H402"
167	N0147	일산화질소		nitric oxide	일산화질소	10102-43-9	24021	12	25 ppm		의뢰물질					116	ppm	가스상물질류	○	 	○	○																			oxidizer+triethanolamine-treated molecular sieve		실온	0.025						N				"H270,H280,H330,H370"
168	N0148	일산화탄소		carbon monoxide	일산화탄소	630-08-0	24023	12	30 ppm	200 ppm	 					32	ppm	가스상물질류	○	 	○	○			○				1A												직독식										A-189-2021		"H220,H360D***,H331,H372**"	"H220,H280,H331,H360,H373"
169	N0149	포스겐		phosgene	포스겐	75-44-5	24025	12	0.1 ppm		의뢰물질					15	ppm	가스상물질류	○	 	○	○																			2-hydroxymethyl piperidine coated XAD-2		냉장	1						N			"H330,H314"	"H280,H314,H318,H330"
170	N0150	포스핀		phosphine	포스핀(인화수소)	7803-51-2	24027	12	0.3 ppm	1 ppm	의뢰물질					128	ppm	가스상물질류	○	 	○	○																			유리섬유 여과지		냉장	1							E-H-2-2025		"H220,,H330,H314,H400"	"H220,H280,H330,H400"
171	N0151	황화수소		hydrogen sulfide	황화수소	7783-06-4	24029	12	10 ppm	15 ppm	의뢰물질					19	ppm	가스상물질류	○	 	○	○				○				0.00272	0.00898	㎍/㎖									활성탄		냉장	0.1						N			"H220,H330,H400"	"H220,H280,H319,H330,H400"
172	N0152	디클로로벤지딘 및 그 염		dichlorobenzidine and its salts	디클로로벤지딘과 그 염	91-94-1	12001	12			의뢰물질	501	1		1	110	ppm	허가대상유해물질	○	○	○	○		○		○	1B														유리섬유 여과지		냉동	0.2							A-60-2018		"H350,H312,H317,H400,H410"	"H303,H341,H350,H401,H411"
173	N0153	α-나프틸아민 및 그 염		α-naphthylamine and its salts	α-나프틸아민과 그 염	134-32-7	12003	12	0.006 ㎎/㎥		의뢰물질					15	㎎/㎥	허가대상유해물질	○	 	○	○		○		○	2														유리섬유 여과지+실리카겔		냉동	0.2						N	A-98-2018		"H302,H411"	"H302,H311,H319,H330,H351"
174	N0154	크롬산아연		"zinc chromate, as Cr"	크롬산 아연	13530-65-9	12005	12	0.01 ㎎/㎥		의뢰물질					112	㎎/㎥	허가대상유해물질	○	 	○	○		○		○	1A														PVC 여과지		냉장	2										"H271,H314,H317,H318,H334,H335,H350,H360"
175	N0155	o-톨리딘 및 그 염		o-tolidine and its salts	o-톨리딘과 그 염	119-93-7	12007	12			의뢰물질					110	㎎/㎥	허가대상유해물질	○	 	○	○		○		○	1B														PTFE 여과지		DC	1						N			"H350,H302,H411"	"H302,H350,H401"
176	N0156	디아니시딘 및 그 염		dianisidine and its salts	디아니시딘과 그 염	119-90-4	12009	12	0.01 ㎎/㎥		의뢰물질					110	㎎/㎥	허가대상유해물질	○	○	○	○		○		○	1B														PTFE 여과지		DC	1							A-61-2018		"H350,H302"	"H302,H315,H350"
177	N0157	베릴륨 및 그 화합물		"beryllium & compounds, as Be"	베릴륨	7440-41-7	12011	12	0.002 ㎎/㎥	0.01 ㎎/㎥	"ICP(금속,알칼리)"		89.58		1	128	㎎/㎥	허가대상유해물질	○	○	○	○		○	○	○	1A			0.00079	0.00261	㎍/㎖									MCE 여과지		DC	2							A-7-2019		"H350i,H330,H301,H335,H372**,H315,H319,H317"	"H228,H319,H335,H350,H372,H400"
178	N0158	비소 및 가용성화합물		"arsenic & Soluble compounds, as As"	비소 및 그 무기화합물	7440-38-2	51161	12	0.01 ㎎/㎥		"ICP(금속,알칼리)"		1		1	128	㎎/㎥	금속류	○	○	○	○		 		 															MCE 여과지		DC	2									"H331,H301,H400,H410"	"H302,H315,H341,H350,H401,H412"
179	N0159	크롬광가공		"chromite ore processing(chromate), sa Cr"	크롬광	7440-47-3	12015	12	0.05 ㎎/㎥		"ICP(금속,알칼리)"	310	1		1	128	㎎/㎥	허가대상유해물질	○	 	○	○		○		○	1A														MCE 여과지		DC	2							A-16-2018			"H317,H334,H335,H350"
