일련번호,CAS No,유해물질의 명칭_국문,유해물질의 명칭_영문,화학식,노출기준_TWA_ppm,노출기준_TWA_㎎/㎥,노출기준_STEL_ppm,노출기준_STEL_㎎/㎥,비 고(CAS번호 등),Cas No. 추출값
186,74-99-7,메틸 아세틸렌,Methyl acetylene,C3H4,1000,-,1250,-,[74-99-7] ,74-99-7
187,59355-75-8,메틸 아세틸렌 프로파디엔 혼합물,Methyl acetylene propadiene mixture(MAPP),-,1000,-,1250,-,[59355-75-8] ,59355-75-8
188,96-33-3,메틸 아크릴레이트,Methyl acrylate,CH2CHCOOCH3,2,-,-,-,[96-33-3] Skin,96-33-3
189,126-98-7,메틸 아크릴로니트릴,Methyl acrylonitrile,CH2CCH3CN,1,-,-,-,[126-98-7] Skin,126-98-7
190,109-87-5,메틸알,Methylal,CH3OCH2OCH3,1000,,,,[109-87-5] 디메톡시메탄 참조,109-87-5
191,67-56-1,메틸 알코올,Methanol,CH3OH,200,-,250,-,[67-56-1] Skin,67-56-1
192,78-93-3,메틸 에틸 케톤,Methyl ethyl ketone(M.E.K),CH3COC2H5,200,-,300,-,[78-93-3] ,78-93-3
193,1338-23-4,메틸 에틸 케톤 퍼옥사이드,Methyl ethyl ketone peroxide,C8H16O4/C8H18O6,-,-,C0.2,-,[1338-23-4] ,1338-23-4
194,108-10-1,메틸 이소부틸 케톤,Methyl isobutyl ketone,CH3COCH2CH(CH3)2,50,-,75,-,[108-10-1] 발암성 2,108-10-1
195,624-83-9,메틸 이소시아네이트,Methyl isocyanate,CH3NCO,0.02,-,-,-,"[624-83-9] 생식독성 2, Skin",624-83-9
196,108-11-2,메틸 이소부틸 카르비놀,Methyl isobutyl carbinol,(CH3)2CHCH2CHOHCH3,25,,40,,[108-11-2] 메틸 아밀 알코올 참조,108-11-2
197,110-12-3,메틸 이소아밀 케톤,Methyl isoamyl ketone,CH3COCH(C2H5)2,50,-,-,-,[110-12-3] ,110-12-3
198,563-80-4,메틸 이소프로필 케톤,Methyl isopropyl ketone,(CH3)2CH3COCH,200,-,-,-,[563-80-4] ,563-80-4
199,74-87-3,메틸 클로라이드,Methyl chloride,CH3Cl,50,-,100,-,"[74-87-3] 발암성 2, Skin",74-87-3
200,71-55-6,메틸 클로로포름,Methyl chloroform,CH3CCl3,350,-,450,-,[71-55-6] ,71-55-6
201,298-00-0,메틸 파라티온,Methyl parathion(Inhalable fraction and vapor),C8H10NO5PS,-,0.2,-,-,"[298-00-0] Skin, 흡입성 및 증기",298-00-0
202,107-31-3,메틸 포메이트,Methyl formate,HCOOCH3,100,-,150,-,[107-31-3] ,107-31-3
203,107-87-9,메틸 프로필 케톤,Methyl propyl ketone,CH3COC3H7,200,-,250,-,[107-87-9] ,107-87-9
204,60-34-4,메틸 하이드라진,Methyl hydrazine,CH3NHNH2,0.01,-,-,-,"[60-34-4] 발암성 2, Skin",60-34-4
205,541-85-5,5-메틸-3-헵타논,5-Methyl-3-heptanone,C8H16O,25,,,,[541-85-5] 에틸 아밀 케톤 참조,541-85-5
206,-,면분진,"Cotton dust, raw",-,-,0.2,-,-,-,-
207,6923-22-4,모노크로토포스,Monocrotophos(Inhalable fraction and vapor),C7H14NO5P,-,0.05,-,-,"[6923-22-4] 생식세포 변이원성 2, Skin, 흡입성 및 증기 ",6923-22-4
208,108-90-7,모노클로로벤젠,Monochlorobenzene,C6H5Cl,10,,20,,[108-90-7] 클로로벤젠 참조,108-90-7
209,110-91-8,모르폴린,Morpholine,C4H9ON,20,-,30,-,[110-91-8] Skin,110-91-8
210,-,목재분진(적삼목),"Wood dust(Western red cedar, Inhalable fraction)",-,-,0.5,-,-,"흡입성, 발암성 1A",-
211,-,목재분진(적삼목외 기타 모든 종),"Wood dust(All other species, Inhalable fraction)",-,-,1,-,-,"흡입성, 발암성 1A",-
212,7439-98-7,몰리브덴(불용성화합물),Molybdenum(Insoluble compounds)(Inhalable fraction),Mo,-,10,-,-,[7439-98-7] 흡입성,7439-98-7
213,7439-98-7,몰리브덴(불용성화합물),Molybdenum(Insoluble compounds)(Respirable fraction),Mo,-,5,-,-,[7439-98-7] 호흡성,7439-98-7
214,7439-98-7,몰리브덴(수용성화합물),Molybdeunum(Soluble compounds) (Respirable fraction),Mo,-,0.5,-,-,"[7439-98-7] 발암성 2, 호흡성",7439-98-7
215,108-31-6,무수 말레산,Maleic anhydride,(CHCO)2O,-,0.4,-,-,[108-31-6] ,108-31-6
216,108-24-7,무수 초산,Acetic anhydride,(CH3CO)2O,1,-,3,-,[108-24-7] ,108-24-7
217,85-44-9,무수 프탈산,Phthalic anhydride,C6H4(CO)2O,1,-,-,-,[85-44-9] Skin,85-44-9
218,7440-39-3,바륨 및 그 가용성화합물,Barium and soluble compounds,Ba,-,0.5,-,-,[7440-39-3] ,7440-39-3
219,7440-06-4,백금(가용성염),"Platinum(Soluble salts, as Pt)",Na2PtCl6․6H2O/ PtCl4/(NH4)2PtCl6,-,0.002,-,-,[7440-06-4] ,7440-06-4
220,7440-06-4,백금(금속),Platinum(Metal),Pt,-,1,-,-,[7440-06-4] ,7440-06-4
221,17804-35-2,배노밀,Benomyl,C14H18N4O3,-,10,,-,"[17804-35-2] 발암성 2, 생식세포 변이원성 1B, 생식독성 1B",17804-35-2
222,7440-41-7,베릴륨 및 그 화합물,Beryllium & Compounds,Be,-,0.002,-,0.01,"[7440-41-7] 발암성 1A, Skin",7440-41-7
223,91-59-8,베타-나프틸아민,β-Naphthylamine,C10H7NH2,-,-,-,-,[91-59-8] 발암성 1A,91-59-8
224,126-99-8,베타-클로로프렌,β-Chloroprene,CH2CClCHCH2,10,,,,"[126-99-8] 2-클로로-1, 3-부타디엔 참조",126-99-8
225,57-57-8,베타-프로피오락톤,β-Propiolactone,C3H4O2,0.5,-,-,-,"[57-57-8] 발암성 1B, Skin",57-57-8
226,71-43-2,벤젠,Benzene,C6H6,0.5,-,2.5,-,"[71-43-2] 발암성 1A, 생식세포 변이원성 1B, Skin ",71-43-2
227,95-54-5,"1,2-벤젠디아민","1,2-Benzenediamine",C6H4(NH2)2,-,0.1,-,-,[95-54-5] ,95-54-5
228,108-45-2,"1,3-벤젠디아민","1,3-Benzenediamine",C6H4(NH2)2,-,0.1,-,-,[108-45-2] ,108-45-2
229,98-88-4,벤조일클로라이드,Benzoyl chloride,C7H5ClO,-,-,C0.5,-,[98-88-4] 발암성 1B,98-88-4
230,98-07-7,벤조트리클로라이드,Benzotrichloride,C7H5Cl3,-,-,C0.1,-,"[98-07-7] 발암성 1B, Skin",98-07-7
231,50-32-8,벤조 피렌,Benzo(a) pyrene,C20H12,-,-,-,-,"[50-32-8] 발암성 1A, 생식세포 변이원성 1B, 생식독성 1B",50-32-8
232,92-87-5,벤지딘,Benzidine,NH2C6H4C6H4NH2,-,-,-,-,"[92-87-5] 발암성 1A, Skin",92-87-5
233,78-93-3,2-부타논,2-Butanone,CH3COC2H5 ,200,,300,,[78-93-3] 메틸 에틸 케톤 참조,78-93-3
234,106-99-0,"1,3-부타디엔","1,3-Butadiene",CH2CHCHCH2,2,-,10,-,"[106-99-0] 발암성 1A, 생식세포 변이원성 1B",106-99-0
235,75-28-5,부탄(이성체),"Butane, isomers",CH3(CH2)2CH3,800,-,-,-,"[75-28-5] [106-97-8] 발암성 1A, 생식세포 변이원성 1B(부타디엔 0.1% 이상인 경우에 한정함)",75-28-5
235,106-97-8,부탄(이성체),"Butane, isomers",CH3(CH2)2CH3,800,-,-,-,"[106-97-8] 발암성 1A, 생식세포 변이원성 1B(부타디엔 0.1% 이상인 경우에 한정함)",106-97-8
236,111-76-2,2-부톡시에탄올,2-Butoxyethanol,C4H9OCH2CH2OH,20,-,-,-,"[111-76-2] 발암성 2, Skin",111-76-2
237,109-79-5,부탄에티올,Butanethiol,CH3CH2CH2CH2SH,0.5,-,-,-,[109-79-5] ,109-79-5
238,109-79-5,부틸 멀캡탄,Butyl mercaptan,CH3CH2CH2CH2SH,0.5,,,,[109-79-5] Butanethiol 참조,109-79-5
239,109-73-9,부틸아민,Butylamine,C4H9NH2,,,C5,-,[109-73-9] Skin,109-73-9
240,78-92-2,이차-부틸알코올,sec-Butyl alcohol(2-Butanol),CH3CHOHCH2CH3,100,-,150,-,[78-92-2] ,78-92-2
241,75-65-0,삼차-부틸알코올,tert-Butyl alcohol,(CH3)3COH,100,-,150,-,[75-65-0] ,75-65-0
242,7782-41-4,불소,Fluorine,F2,0.1,-,-,-,[7782-41-4] ,7782-41-4
243,7664-39-3,불화수소,"Hydrogen fluoride, as F",HF,0.5,-,C3,-,[7664-39-3] Skin ,7664-39-3
244,1330-43-4,붕소산 사나트륨염(무수물),Borates tetrasodium salts(Anhydrous)(Inhalable fraction),Na2B4O7,-,1,-,-,"[1330-43-4] 생식독성 1B, 흡입성",1330-43-4
245,12179-04-3,붕소산 사나트륨염(오수화물),Borates tetrasodium salts(Pentahydrate)(Inhalable fraction),Na2B4O7․5H2O,-,1,-,-,"[12179-04-3] 생식독성 1B, 흡입성",12179-04-3
246,1303-96-4,붕소산 사나트륨염(십수화물),Borates tetrasodium salts(Decahydrate)(Inhalable fraction),Na2B4O7․10H2O,-,5,-,-,"[1303-96-4] 생식독성 1B, 흡입성",1303-96-4
247,314-40-9,브로마실,Bromacil,C9H13BrN2O2,-,10,-,-,[314-40-9] 발암성 2,314-40-9
248,74-97-5,브로모클로로메탄,Bromochloromethane,CH2BrCl,200,-,250,-,[74-97-5] ,74-97-5
249,75-25-2,브로모포롬,Bromoform,CHBr3,0.5,-,-,-,"[75-25-2] 발암성 2, Skin",75-25-2
250,106-94-5,1-브로모프로판,1-Bromopropane,CH3CH2CH2Br,25,-,-,-,"[106-94-5] 발암성 2, 생식독성 1B",106-94-5
251,75-26-3,2-브로모프로판,2-Bromopropane,(CH3)2CHBr,1,-,-,-,[75-26-3] 생식독성 1A,75-26-3
252,7726-95-6,브롬,Bromine,Br2,0.1,-,0.3,-,[7726-95-6] ,7726-95-6
253,74-83-9,브롬화 메틸,Methyl bromide,CH3Br,1,-,-,-,"[74-83-9] 생식세포 변이원성 2, Skin",74-83-9
254,593-60-2,브롬화 비닐,Vinyl bromide,C2H3Br,0.5,-,-,-,[593-60-2] 발암성 1B ,593-60-2
255,10035-10-6,브롬화 수소,Hydrogen bromide,HBr,,,C2,-,[10035-10-6] ,10035-10-6
256,74-96-4,브롬화 에틸,Ethyl bromide,C2H5Br,5,-,-,-,"[74-96-4] 발암성 2, Skin",74-96-4
257,8032-32-4,브이엠 및 피 나프타,VM & P Naphtha,-,300,-,-,-,"[8032-32-4] 발암성 1B, 생식세포 변이원성 1B(벤젠 0.1% 이상인 경우에 한정함)",8032-32-4
258,100-42-5,비닐 벤젠,Vinyl benzene,C6H5CHCH2,20,,40,,[100-42-5] 스티렌 참조,100-42-5
259,106-87-6,비닐 시클로헥센디옥사이드,Vinyl cyclohexenedioxide,C8H12O2,0.1,-,-,-,"[106-87-6] 발암성 2, Skin",106-87-6
260,108-05-4,비닐 아세테이트,Vinyl acetate,CH3COOCHCH2,10,-,15,-,[108-05-4] 발암성 2,108-05-4
261,25013-15-4,비닐 톨루엔,Vinyl toluene,CH3C6H4CHCH2,50,-,-,-,[25013-15-4] ,25013-15-4
262,7440-38-2,비소 및 그 무기화합물,"Arsenic & inorganic compounds, as As",As,-,0.01,-,-,[7440-38-2] 발암성 1A,7440-38-2
263,542-88-1,비스-(클로로메틸)에테르,bis-(Chloromethyl)ether,O(CH2Cl)2,0.001,-,-,-,[542-88-1] 발암성 1A ,542-88-1
264,92-52-4,비페닐,Biphenyl,C12H10,0.2,-,-,-,[92-52-4] ,92-52-4
265,79-27-6,사브롬화 아세틸렌,Acetylene tetrabromide,CHBr2CHBr2,1,-,-,-,[79-27-6] ,79-27-6
266,558-13-4,사브롬화 탄소,Carbon tetrabromide,CBr4,0.1,-,0.3,-,[558-13-4] ,558-13-4
267,20816-12-0,사산화 오스뮴,"Osmium tetroxide, as Os",OsO4,0.0002,-,0.0006,-,[20816-12-0] ,20816-12-0
268,56-23-5,사염화탄소,Carbon tetrachloride,CCl4,5,-,-,-,"[56-23-5] 발암성 1B, Skin",56-23-5
269,14808-60-7,산화규소(결정체 석영),Silica(Crystalline quartz)(Respirable fraction),SiO2,-,0.05,-,-,"[14808-60-7] 발암성 1A, 호흡성",14808-60-7
270,14464-46-1,산화규소(결정체 크리스토바라이트),Silica(Crystalline cristobalite)(Respirable fraction),SiO2,-,0.05,-,-,"[14464-46-1] 발암성 1A, 호흡성",14464-46-1
271,15468-32-3,산화규소(결정체 트리디마이트),Silica(Crystalline tridymite)(Respirable fraction),SiO2,-,0.05,-,-,"[15468-32-3] 발암성 1A, 호흡성",15468-32-3
272,1317-95-9,산화규소(결정체 트리폴리),Silica(Crystalline tripoli)(Respirable fraction),SiO2,-,0.1,-,-,"[1317-95-9] 발암성 1A, 호흡성",1317-95-9
273,60676-86-0,"산화규소(비결정체 규소, 용융된)","Silica(Amorphous silica, fused)(Respirable fraction)",SiO2,-,0.1,-,-,[60676-86-0] 호흡성,60676-86-0
274,61790-53-2,산화규소(비결정체 규조토),Silica(Amorphous diatomaceous earth),SiO2,-,10,-,-,[61790-53-2] ,61790-53-2
275,112926-00-8,산화규소(비결정체 침전된 규소),Silica(Amorphous precipitated silica),SiO2,-,10,-,-,[112926-00-8] ,112926-00-8
276,112926-00-8,산화규소(비결정체 실리카겔),Silica(Amorphous silicagel),SiO2,-,10,-,-,[112926-00-8] ,112926-00-8
277,1309-48-4,산화마그네슘,Magnesium oxide,MgO,-,10,-,-,[1309-48-4] ,1309-48-4
278,141-79-7,산화 메시틸,Mesityl oxide,CH3COCHC(CH3)2,15,-,25,-,[141-79-7] ,141-79-7
279,1303-86-2,산화 붕소,Boron oxide,B2O3,-,10,-,-,[1303-86-2] 생식독성 1B,1303-86-2
280,1314-13-2,산화아연 분진,Zinc oxide(Respirable fraction),ZnO,-,2,-,-,[1314-13-2] 호흡성,1314-13-2
281,1314-13-2,산화아연,Zinc oxide,ZnO,-,5,-,10,[1314-13-2] ,1314-13-2
282,1344-28-1,산화 알루미늄(금속분진),Aluminum oxide,Al2O3,,10,,,[1344-28-1] 알파-알루미나 참조,1344-28-1
,1344-28-1,"산화 알루미늄(용접흄, 피로파우더)",Aluminum oxide,Al2O3,,5,,,[1344-28-1] 알파-알루미나 참조,1344-28-1
283,75-21-8,산화 에틸렌,Ethylene oxide,(CH2)2O,1,-,-,-,"[75-21-8] 발암성 1A, 생식세포 변이원성 1B",75-21-8
284,7440-31-5,산화주석 및 무기화합물,"Tin oxide & Inorganic compounds except SnH4, as Sn",Sn/SnCl2/SnCl4/SnSO4/K2SnO3․3H2O,-,2,-,-,[7440-31-5] Skin,7440-31-5
285,1309-37-1,산화철,"Iron oxide, as Fe",Fe2O3,-,5,-,-,[1309-37-1] ,1309-37-1
286,1309-37-1,산화철(흄),"Iron oxide(Fume, as Fe)",Fe2O3,-,5,-,-,[1309-37-1] ,1309-37-1
287,1305-78-8,산화칼슘,Calcium oxide,CaO,-,2,-,-,[1305-78-8] ,1305-78-8
288,75-56-9,산화프로필렌,Propylene oxide,CH3CHOCH2,2,,,,"[75-56-9] 1, 2-에폭시프로판 참조",75-56-9
289,1189-85-1,삼차부틸크롬산,"tert-Butyl chromate, as CrO3",[(CH3)3CO]2CrO2,-,-,-,C0.1,"[1189-85-1] 발암성 1A, Skin",1189-85-1
290,7637-07-2,삼불화붕소,Boron trifluoride,BF3,-,-,C1,-,[7637-07-2] ,7637-07-2
291,7790-91-2,삼불화염소,Chlorine trifluoride,ClF3,-,-,C0.1,-,[7790-91-2] ,7790-91-2
292,7783-54-2,삼불화질소,Nitrogen trifluoride,NF3,10,-,,,[7783-54-2] ,7783-54-2
293,10294-33-4,삼브롬화붕소,Boron tribromide,BBr3,-,-,C1,-,[10294-33-4] ,10294-33-4
294,1309-64-4,삼산화 안티몬(취급 및 사용물),"Antimony trioxide(Handling & use, as Sb)",Sb2O3,-,0.5,-,-,[1309-64-4] 발암성 2,1309-64-4
295,1309-64-4,삼산화 안티몬(생산),Antimony trioxide(Production),Sb2O3,-,-,-,-,[1309-64-4] 발암성 1B,1309-64-4
296,7784-42-1,삼수소화 비소,Arsine,AsH3,0.005,-,-,-,[7784-42-1] ,7784-42-1
297,13397-24-5,석고,Gypsum(Inhalable fraction),CaSO4․2H2O,-,10,-,-,[13397-24-5] 흡입성,13397-24-5
298,-,석면(모든 형태),Asbestos(All forms),-,-,0.1개/cm3,-,-,발암성 1A,-
299,-,석탄분진,Coal dust(Respirable fraction),-,-,1,-,-,호흡성,-
300,1317-65-3,석회석,Lime stone,-,-,10,-,-,[1317-65-3] ,1317-65-3
301,2699-79-8,설퍼릴 플루오라이드,Sulfuryl fluoride,SO2F2,5,-,10,-,[2699-79-8] ,2699-79-8
302,10025-67-9,설퍼 모노클로라이드,Sulfur monochloride,S2Cl2,-,-,C1,-,[10025-67-9] ,10025-67-9
303,7783-60-0,설퍼 테트라플루오라이드,Sulfur tetrafluoride,SF4,-,-,C0.1,-,[7783-60-0] ,7783-60-0
304,5714-22-7,설퍼 펜타플루오라이드,Sulfur pentafluoride,S2F10,-,-,C0.01,-,[5714-22-7] ,5714-22-7
305,3689-24-5,설포텝,Sulfotep,(C2H5)4P2S2O5,-,0.2,-,-,[3689-24-5] Skin,3689-24-5
306,35400-43-2,설프로포스,Sulprofos,C12H19O2PS3,-,1,-,-,[35400-43-2] Skin,35400-43-2
307,136-78-7,B,Sesone,C8H7Cl2NaO5S,-,10,-,-,[136-78-7] ,136-78-7
308,21351-79-1,세슘하이드록시드,Cesium hydroxide,CsOH,-,2,-,-,[21351-79-1] ,21351-79-1
309,7782-49-2,셀레늄 및 그 화합물,Selenium and compounds,Se/Na2SeO3/Na2SeO4/SeO2SeOCl2,-,0.2,-,-,[7782-49-2] ,7782-49-2
310,9004-34-6,셀루로우즈,Cellulose(paper fiber),(C6H10O5)n,-,10,-,-,[9004-34-6] ,9004-34-6
311,136-78-7,"소디움 2,4-디클로로페녹시에틸 설페이트","Sodium 2,4-dichlorophenoxyethylsulfate",C8H7Cl2NaO5S,,10,,,[136-78-7] 세손 참조,136-78-7
312,7681-57-4,소디움 메타바이설파이트,Sodium metabisulfite,Na2S2O5,-,5,-,-,[7681-57-4] ,7681-57-4
313,7631-90-5,소디움 비설파이트,Sodium bisulfite,NaHSO3,-,5,-,-,[7631-90-5] ,7631-90-5
314,26628-22-8,소디움 아지이드,Sodium azide,NaN3,-,-,-,C0.29,[26628-22-8] ,26628-22-8
315,62-74-8,소디움 풀루오로아세테이트,Sodium fluoroacetate,CH2FCOONa,-,0.05,-,0.15,[62-74-8] Skin,62-74-8
316,10034-76-1,소석고,Plaster of Pariss(Inhalable fraction),-,-,10,-,-,[10034-76-1] 흡입성,10034-76-1
317,14807-96-6,소우프스톤,Soapstone,3MgO․4SiO2․H2O,-,6,-,-,[14807-96-6] ,14807-96-6
318,14807-96-6,소우프스톤,Soapstone(Respirable fraction),3MgO․4SiO2․H2O,-,3,-,-,[14807-96-6] 호흡성,14807-96-6
319,1310-73-2,수산화나트륨,Sodium hydroxide,NaOH,-,-,-,C2,[1310-73-2] ,1310-73-2
320,1310-58-3,수산화 칼륨,Potassium hydroxide,KOH,-,-,-,C2,[1310-58-3] ,1310-58-3
321,1305-62-0,수산화 칼슘,Calcium hydroxide,Ca(OH)2,-,5,-,-,[1305-62-0] ,1305-62-0
322,75-59-2,수산화테트라메틸암모늄,Tetramethylammonium hydroxide,C4H13NO,-,1,-,-,[75-59-2] ,75-59-2
323,7439-97-6,수은(아릴화합물),Mercury(Aryl compounds),Hg,-,0.1,-,-,[7439-97-6] Skin,7439-97-6
324,7439-97-6,수은 및 무기형태(아릴 및 알킬 화합물 제외),Mercury elemental and inorganic form(All forms except aryl & alkyl compounds),Hg,-,0.025,-,-,"[7439-97-6] 생식독성 1B, Skin",7439-97-6
325,7439-97-6,수은(알킬화합물),Mercury(Alkyl compounds),Hg,-,0.01,-,0.03,[7439-97-6] Skin,7439-97-6
326,8052-41-3,스토다드 용제,Stoddard solvent,C9~C11 paraffn(85%) + aromatics(15%),100,-,-,-,"[8052-41-3] 발암성 1B, 생식세포 변이원성 1B(벤젠 0.1% 이상인 경우에 한정함)",8052-41-3
327,7789-06-2,스트론티움크로메이트,Strontium chromate,C2H2O4․Sr,-,0.0005,-,-,[7789-06-2] 발암성 1A ,7789-06-2
328,57-24-9,스트리치닌,Strychnine,C21H22N2O2,-,0.15,-,-,[57-24-9] ,57-24-9
329,100-42-5,스티렌,Styrene,C6H5CHCH2,20,-,40,-,"[100-42-5] 발암성 2, 생식독성 2, Skin",100-42-5
330,7803-52-3,스티빈,Stibine,SbH3,0.1,-,-,-,[7803-52-3] ,7803-52-3
331,8065-48-3,시스톡스,Systox,(C2H5O)2PSOC2H4SC2H5,,0.1,,,[8065-48-3] 데미톤 참조,8065-48-3
332,460-19-5,시아노겐,Cyanogen,(CN)2,10,-,-,-,[460-19-5] ,460-19-5
333,420-04-2,시안아미드,Cyanamide,H2NCN,-,2,-,-,[420-04-2] ,420-04-2
334,143-33-9,시안화 나트륨,Sodium cyanide,NaCN,-,3,-,5,[143-33-9] Skin,143-33-9
335,107-13-1,시안화 비닐,Vinyl cyanide,CH2CHCN,2,,,,[107-13-1] 아크릴로니트릴 참조,107-13-1
336,74-90-8,시안화 수소,Hydrogen cyanide,HCN,-,-,C4.7,-,[74-90-8] Skin,74-90-8
337,151-50-8,시안화 칼륨,Potassium cyanide,KCN,,5,,,[151-50-8] 시안화합물 참조,151-50-8
338,151-50-8,시안화합물,"Cyanides, as CN",KCN/Ca(CN)2,-,5,-,-,[151-50-8] Skin,151-50-8
338,592-01-8,시안화합물,"Cyanides, as CN",KCN/Ca(CN)2,-,5,-,-,[592-01-8] Skin,592-01-8
339,121-82-4,시클로나이트,Cyclonite,C3H6N6O6,-,0.5,-,-,[121-82-4] Skin,121-82-4
340,542-92-7,시클로펜타디엔,Cyclopentadiene,C5H6,75,-,-,-,[542-92-7] ,542-92-7
341,287-92-3,시클로펜탄,Cyclopentane,C5H10,600,-,-,-,[287-92-3] ,287-92-3
342,108-94-1,시클로헥사논,Cyclohexanone,C6H11O,25,-,50,-,"[108-94-1] 발암성 2, Skin",108-94-1
343,108-93-0,시클로헥사놀,Cyclohexanol,C6H11OH,50,-,-,-,[108-93-0] Skin,108-93-0
344,110-82-7,시클로헥산,Cyclohexane,C6H12,200,-,-,-,[110-82-7] ,110-82-7
345,110-83-8,시클로헥센,Cyclohexene,C6H10,300,-,-,-,[110-83-8] ,110-83-8
346,108-91-8,시클로헥실아민,Cyclohexylamine,C6H11NH2,10,-,-,-,[108-91-8] 생식독성 2,108-91-8
347,13121-70-5,시헥사틴,Cyhexatin,C18H34OSn,-,5,-,-,[13121-70-5] ,13121-70-5
348,7803-62-5,실레인,Silane,SiH4,5,-,-,-,[7803-62-5] ,7803-62-5
349,7440-21-3,실리콘,Silicon,Si,-,10,-,-,[7440-21-3] ,7440-21-3
350,409-21-2,실리콘 카바이드,Silicon carbide,SiC,-,10,-,-,[409-21-2] 발암성 1B1{섬유상(수염형태 결정 포함) 물질에 한정함},409-21-2
351,7803-62-5,실리콘 테트라하이드라이드,Silicon tetrahydride,SiH4,,5,,,[7803-62-5] 실레인 참조,7803-62-5
352,29191-52-4,"아니시딘(오쏘, 파라-이성체)","Anisidine(o, p-isomers)",NH2C6H4OCH3,-,0.5,-,-,[29191-52-4] Skin,29191-52-4
353,62-53-3,아닐린과 아닐린 동족체,Aniline & homologues,C6H5NH2,2,-,-,-,"[62-53-3] 발암성 2, 생식세포 변이원성 2, Skin",62-53-3
354,92-67-1,4-아미노디페닐,4-Aminodiphenyl,C6H5C6H4NH2,-,-,-,-,"[92-67-1] 발암성 1A, Skin",92-67-1
355,141-43-5,2-아미노에탄올,2-Aminoethanol,HOCH2CH2NH2,3,,6,,[141-43-5] 에탄올 아민 참조,141-43-5
356,61-82-5,"3-아미노-1,2,4-트리아졸(또는 아미트롤)","3-Amino-1,2,4-triazole(or Amitr",-,-,0.2,-,-,"[61-82-5] 발암성 2, 생식독성 2",61-82-5
357,504-29-0,2-아미노피리딘,2-Aminopyridine,NH2C5H4N,0.5,-,-,-,[504-29-0] ,504-29-0
358,7784-40-9,아세네이트 연,"Lead arsenate, as Pb(AsO4)2",Pb3HAsO4,-,0.05,-,-,"[7784-40-9] 발암성 1A, 생식독성 1A",7784-40-9
359,75-05-8,아세토니트릴,Acetonitrile,CH3CN,20,-,-,-,[75-05-8] Skin,75-05-8
360,67-64-1,아세톤,Acetone,CH3COCH3,500,-,750,-,[67-64-1] ,67-64-1
361,75-86-5,아세톤시아노히드린,Acetone cyanohydrin,(CH3)2C(OH)CN,-,-,C4.7,-,"[75-86-5] 노출기준 고시자료 : C4.7ppm, 공단 : 4.7mg/m3",75-86-5
362,75-07-0,아세트알데히드,Acetaldehyde,CH3CHO,50,-,150,-,[75-07-0] 발암성 1B,75-07-0
363,50-78-2,아세틸살리실산,Acetylsalicylic acid(Aspirin),C9H8O4,-,5,-,-,[50-78-2] ,50-78-2
364,8052-42-4,아스팔트 흄 (벤젠 추출물),Asphalt(Bitumen)fumes(as benzene soluble aerosol) (Inhalable fraction),-,-,0.5,-,-,"[8052-42-4] 발암성 2, 흡입성",8052-42-4
365,557-05-1,아연 스테아린산,Zinc stearate(Inhalable fraction),Zn(C18H35O2)2,-,10,-,-,[557-05-1] 흡입성,557-05-1
366,86-50-0,아진포스 메틸,methyl(Inhalable fraction and vapor),C10H12N3O3PS2,-,0.2,-,-,"[86-50-0] Skin, 흡입성 및 증기",86-50-0
367,107-02-8,아크로레인,Acrolein,CH2CHCHO,0.1,-,0.3,-,[107-02-8] Skin,107-02-8
368,107-13-1,아크릴로니트릴,Acrylonitrile,CH2CHCN,2,-,-,-,"[107-13-1] 발암성 1B, Skin",107-13-1
369,79-10-7,아크릴 산,Acrylic acid,CH2CHCOOH,2,-,-,-,[79-10-7] Skin,79-10-7
370,79-06-1,아크릴아미드,Acrylamide(Inhalable fraction and vapor),CH2CHCONH2,-,0.03,-,-,"[79-06-1] 발암성 1B, 생식세포 변이원성 1B, 생식독성 2, Skin, 흡입성 및 증기",79-06-1
371,1912-24-9,아트라진,Atrazine,C8H14CIN5,-,5,-,-,[1912-24-9] 발암성 2,1912-24-9
372,12035-72-2,아황화니켈,Nickel subsulfide(Inhalable fraction),Ni3S2,-,0.1,-,-,"[12035-72-2] 발암성 1A, 생식세포 변이원성 2, 흡입성",12035-72-2
373,7440-36-0,안티몬과 그 화합물,"Antimony & compounds, as Sb",Sb,-,0.5,-,-,[7440-36-0] ,7440-36-0
374,309-00-2,알드린,Aldrin,Cl2H8Cl6,-,0.25,-,-,"[309-00-2] 발암성 2, Skin",309-00-2
375,7429-90-5,알루미늄(가용성 염),Aluminum(Soluble salts),Al,-,2,-,-,[7429-90-5] ,7429-90-5
376,7429-90-5,알루미늄(금속분진),Aluminum(Metal dust),Al,-,10,-,-,[7429-90-5] ,7429-90-5
377,7429-90-5,알루미늄(알킬),Aluminum(Alkyls),Al,-,2,-,-,[7429-90-5] ,7429-90-5
378,7429-90-5,알루미늄(용접 흄),Aluminum(Welding fumes),Al,-,5,-,-,[7429-90-5] ,7429-90-5
379,7429-90-5,알루미늄(피로파우더),Aluminum(Pyropowders),Al,-,5,-,-,[7429-90-5] ,7429-90-5
380,106-92-3,알릴글리시딜에테르,Allyl glycidyl ether(AGE),CH2CHCH2OC3H5O,1,-,-,-,"[106-92-3] 발암성 2, 생식세포 변이원성 2, 생식독성 2, Skin",106-92-3
